FOI	FOIFR	FOIID	OP	OPFR	OPID	VAL	VALFR	VALID	
growth ring	Cerne de croissance	10	boundary marks	marques de délimitation	2	boundaries distinct	limites distinctes	1	
growth ring	Cerne de croissance	10	boundary marks	marques de délimitation	2	indistinct or absent	limites indistinctes ou absentes	2	
vessels	Puits vaisseau-rayon	28	prorosity	porosité	8	ring-porous	porosité annulaire	3	
vessels	Vaisseaux	28	prorosity	porosité	8	semi-ring-porous	porosité semi-annulaire	4	
vessels	Vaisseaux	28	prorosity	porosité	8	diffuse-porous	porosité diffuse	5	
vessels	Vaisseaux	28	arrangement	agencement	1	vessels in tangential bands	Vaisseaux en bandes tangentielles	6	
vessels	Vaisseaux	28	arrangement	agencement	1	Vessels in diagonal and/or radial pattern	Vaisseaux en motif diagonal et/ou radial	7	
vessels	Vaisseaux	28	arrangement	agencement	1	Vessels in dendritic pattern	Vaisseaux en motif dendritique	8	
vessels	Vaisseaux	28	vessels grouping	groupement des vaisseaux	15	Vessels exclusively solitary (90% or more)	Vaisseaux exclusivement solitaires (90 % ou plus)	9	
vessels	Vaisseaux	28	vessels grouping	groupement des vaisseaux	15	Vessels in radial multiples of 4 or more common	Vaisseaux en multiples radiaux de 4 ou plus courants	10	
vessels	Vaisseaux	28	vessels grouping	groupement des vaisseaux	15	Vessel clusters common	Grappes de vaisseaux courantes	11	
vessels	Vaisseaux	28	shape	forme	11	Solitary vessel outline angular	Contour des vaisseaux solitaires anguleux	12	
perforation Plate	Parenchyme axial paratrachéal (parenchyme axial)	19	shape	forme	11	Simple perforation plates	Plaques perforées simples	13	
perforation Plate	Plaque de perforation	19	shape	forme	11	Scalariform perforation plates	Plaques perforées scalariformes	14	
perforation Plate	Plaque de perforation	19	number of bars in scalariform perforation plates	nombre de barres dans les plaques de perforation scalariformes	7	Scalariform perforation plates with ≤ 10 bars	Plaques de perforation scalariformes avec ≤ 10 barres	15	
perforation Plate	Plaque de perforation	19	number of bars in scalariform perforation plates	nombre de barres dans les plaques de perforation scalariformes	7	Scalariform perforation plates with 10–20 bars	Plaques de perforation scalariformes avec 10–20 barres	16	
perforation Plate	Plaque de perforation	19	number of bars in scalariform perforation plates	nombre de barres dans les plaques de perforation scalariformes	7	Scalariform perforation plates with 20–40 bars	Plaques de perforation scalariformes avec 20–40 barres	17	
perforation Plate	Plaque de perforation	19	number of bars in scalariform perforation plates	nombre de barres dans les plaques de perforation scalariformes	7	Scalariform perforation plates with ≥ 40 bars	Plaques de perforation scalariformes avec ≥ 40 barres	18	
perforation Plate	Plaque de perforation	19	shape	forme	11	Reticulate, foraminate, and /or other types of multiple perforation plates	Plaques perforées réticulées, foraminées et/ou autres types de plaques perforées multiples	19	
Intervessel pits	Puits intervasculaires	12	shape	forme	11	Intervessel pits scalariform	Ponctuations intervasculaires scalariformes	20	
Intervessel pits	Puits intervasculaires	12	shape	forme	11	Intervessel pits opposite	Ponctuations intervasculaires opposées	21	
Intervessel pits	Puits intervasculaires	12	shape	forme	11	Intervessel pits alternate	Ponctuations intervasculaires alternées	22	
Intervessel pits	Puits intervasculaires	12	shape	forme	11	Shape of alternate pits polygonal	Forme des ponctuations alternées polygonale	23	
Intervessel pits	Puits intervasculaires	12	length	longueur	4	– ≤ 4 μm	– ≤ 4 μm	24	
Intervessel pits	Puits intervasculaires	12	length	longueur	4	– 4–7 μm	– 4–7 μm	25	
Intervessel pits	Puits intervasculaires	12	length	longueur	4	– 7–10 μm	– 7–10 μm	26	
Intervessel pits	Puits intervasculaires	12	length	longueur	4	– ≥ 10 μm	– ≥ 10 μm	27	
Vestured pits	Vaisseaux	29	presence of vestured pits	présence de ponctuations vesturées	9	TRUE	VRAI	29	
Vessel-ray pits	Lumières des vaisseaux	27	shape	forme	11	Vessel–ray pits with distinct borders; similar to intervessel pits in size and shape through-out the ray cell	Pits vaisseaux-rayons avec des bords distincts ; similaires aux pits inter-vaisseaux en taille et en forme dans toute la cellule rayonnante	30	
Vessel-ray pits	Puits vaisseau-rayon	27	shape	forme	11	Vessel–ray pits with much reduced borders to apparently simple: pits rounded or angular	Pits vaisseaux-rayons avec des bords très réduits à apparemment simples : pits arrondis ou angulaires	31	
